Lat,Lon
38.57077,-94.03016
38.98164,-92.41719
38.22599,-95.52745
38.00135,-92.64939
38.98443,-94.02558
38.37487,-96.8092
38.50972,-93.75363
39.25354,-93.21538
38.77907,-97.014
37.59342,-92.06775
37.26903,-96.44567
37.60345,-93.14717
38.67189,-94.56807
38.52995,-95.43333
39.266,-92.59368
38.05351,-95.78598
38.18931,-96.46088
38.96605,-94.47101
38.77259,-92.09656
39.4687,-95.542
38.27746,-92.06916
37.38518,-96.41166
38.35388,-94.03805
37.32069,-96.36384
37.78278,-97.74389
38.81308,-92.26823
38.10177,-95.71738
38.82073,-91.86391
39.02549,-93.41009
38.47074,-94.67629
38.66641,-93.57116
38.35147,-93.42404
37.93856,-94.40757
38.775,-91.65819
37.68327,-95.37334
38.35777,-91.35534
37.99481,-95.33425
38.97217,-96.25982
38.9435,-94.8499
38.10672,-94.93684
39.3948,-93.40384
37.93952,-95.75951
38.90505,-94.59493
37.97707,-94.40678
38.2382,-96.07962
37.4401,-94.39794
38.39238,-93.42496
38.68808,-94.23105
39.65127,-92.9959
38.36578,-95.32857
38.08242,-92.55814
38.12817,-95.72286
38.59314,-92.92914
38.2539,-96.73759
38.6243,-96.25505
38.19324,-94.33785
38.31344,-93.8301
39.11248,-94.8328
38.4906,-94.80777
37.29514,-92.21894
37.6841,-93.67909
37.83927,-95.15047
38.40781,-93.01411
38.95013,-96.8151
37.87786,-94.17577
39.76983,-93.37952
37.96356,-95.02354
38.60771,-95.64817
38.61614,-93.02537
37.63965,-93.65213
37.73833,-94.69155
38.62992,-93.55214
38.45903,-93.83302
38.49556,-94.00017
38.55935,-94.32935
38.58122,-93.95894
39.35996,-94.36782
37.34164,-92.92644
39.22419,-92.48534
38.73908,-96.55503
38.45767,-96.20855
39.55466,-92.29011
39.29187,-95.14537
38.48561,-97.88296
37.32834,-93.03248
38.35428,-94.45556
39.28904,-94.4882
37.49018,-93.71225
39.67028,-94.55934
38.86316,-93.40375
38.92893,-94.08318
37.84326,-94.25361
37.644,-94.4118
39.54218,-96.25541
37.69068,-96.66663
38.55173,-95.04091
37.34029,-94.90443
38.53577,-94.4053
38.3568,-91.38382
38.55566,-91.55495
39.59888,-97.02284
38.7127,-97.71659
39.85629,-93.13305
38.17684,-94.4134
37.15048,-95.10454
39.43738,-94.97487
39.51118,-92.39887
38.65913,-93.20104
38.80474,-96.48346
38.35685,-92.55069
38.5341,-94.21077
38.71086,-93.76449
37.65684,-97.10974
38.73857,-94.47011
37.87452,-94.11445
38.20934,-93.04582
37.53531,-92.90644
39.14427,-95.34224
37.7614,-96.29202
37.47782,-95.27895
38.16386,-96.37508
39.97492,-96.34328
38.53976,-95.2182
39.29476,-93.12345
39.25972,-94.71156
39.172,-93.20595
39.64902,-94.48892
37.54591,-96.55958
37.54123,-93.94419
38.11028,-91.91382
38.84052,-91.20927
38.67905,-94.61909
39.36739,-94.3557
37.4672,-94.04953
38.98218,-96.07741
38.37176,-95.77578
37.48187,-96.20078
38.10399,-93.49633
37.54763,-96.55118
38.57228,-93.57018
39.08433,-92.9809
38.7438,-92.94194
37.63777,-96.23415
37.82365,-96.29251
38.20149,-95.28823
37.98187,-94.38412
39.13213,-95.86778
38.0312,-91.79813
37.58084,-93.4803
38.41298,-96.58711
38.31799,-96.56644
39.5837,-96.77976
38.57944,-93.19706
37.91127,-92.18812
